ID,Number,Name
YAL002W,1642,VPS8
YAL017W,3496,PSK1
YAL019W,606,FUN30
YAL021C,3877,CCR4
YAL022C,1229,FUN26
YAL023C,843,PMT2
YAL032C,1696,PRP45
YAL036C,863,RBG1
YAL039C,856,CYC3
YAL041W,3847,CDC24
YAL044C,1374,GCV3
YAL046C,4182,AIM1
YAL054C,1550,ACS1
YAL060W,2820,BDH1
YAR003W,549,SWD1
YAR015W,403,ADE1
YAR018C,86,KIN3
YAR035W,2897,YAT1
YAR073W,3184,IMD1
YBL002W,213,HTB2
YBL003C,59,HTA2
YBL004W,1386,UTP20
YBL009W,452,ALK2
YBL017C,124,PEP1
YBL019W,1633,APN2
YBL020W,159,RFT1
YBL021C,510,HAP3
YBL022C,1501,PIM1
YBL023C,3146,MCM2
YBL026W,2956,LSM2
YBL027W,2916,RPL19B
YBL032W,2934,HEK2
YBL047C,755,EDE1
YBL055C,4339,NA
YBL058W,4681,SHP1
YBL068W,2888,PRS4
YBL069W,418,AST1
YBL072C,3248,RPS8A
YBL074C,4288,AAR2
YBL078C,3550,ATG8
YBL079W,4249,NUP170
YBL080C,3893,PET112
YBL089W,931,AVT5
YBL098W,2962,BNA4
YBL101C,3833,ECM21
YBL102W,300,SFT2
YBL106C,1145,SRO77
YBL111C,1731,NA
YBL112C,1236,NA
YBL113C,3859,NA
YBR003W,4213,COQ1
YBR006W,310,UGA2
YBR009C,3329,HHF1
YBR011C,4708,IPP1
YBR018C,3644,GAL7
YBR019C,3363,GAL10
YBR020W,4453,GAL1
YBR024W,3821,SCO2
YBR025C,2793,OLA1
YBR026C,1447,ETR1
YBR035C,939,PDX3
YBR041W,665,FAT1
YBR048W,1240,RPS11B
YBR058C,3295,UBP14
YBR061C,1193,TRM7
YBR068C,2875,BAP2
YBR073W,4160,RDH54
YBR080C,255,SEC18
YBR083W,1864,TEC1
YBR096W,3510,NA
YBR097W,269,VPS15
YBR102C,37,EXO84
YBR103W,864,SIF2
YBR105C,787,VID24
YBR117C,3383,TKL2
YBR121C,2800,GRS1
YBR123C,2913,TFC1
YBR133C,3996,HSL7
YBR135W,4265,CKS1
YBR140C,1333,IRA1
YBR142W,1425,MAK5
YBR143C,2919,SUP45
YBR145W,1213,ADH5
YBR154C,365,RPB5
YBR160W,4224,CDC28
YBR164C,186,ARL1
YBR169C,753,SSE2
YBR170C,1663,NPL4
YBR177C,2982,EHT1
YBR179C,1389,FZO1
YBR181C,3087,RPS6B
YBR189W,370,RPS9B
YBR204C,839,LDH1
YBR210W,4308,ERV15
YBR217W,456,ATG12
YBR218C,660,PYC2
YBR219C,4073,NA
YBR220C,3364,NA
YBR221C,364,PDB1
YBR222C,48,PCS60
YBR227C,4147,MCX1
YBR228W,3202,SLX1
YBR229C,3210,ROT2
YBR235W,1458,VHC1
YBR236C,417,ABD1
YBR241C,2799,NA
YBR242W,276,NA
YBR244W,1084,GPX2
YBR252W,2789,DUT1
YBR260C,1613,RGD1
YBR265W,469,TSC10
YBR267W,2972,REI1
YBR274W,1135,CHK1
YBR283C,865,SSH1
YBR284W,478,NA
YBR289W,2847,SNF5
YBR290W,3071,BSD2
YBR296C,1662,PHO89
YBR299W,4307,MAL32
YCL010C,1871,SGF29
YCL011C,4692,GBP2
YCL031C,3302,RRP7
YCL039W,1558,GID7
YCL055W,4220,KAR4
YCL057W,90,PRD1
YCL059C,3959,KRR1
YCR003W,4292,MRPL32
YCR005C,2967,CIT2
YCR009C,3733,RVS161
YCR012W,179,PGK1
YCR014C,3777,POL4
YCR024C,872,SLM5
YCR026C,1884,NPP1
YCR031C,379,RPS14A
YCR033W,4082,SNT1
YCR034W,3708,ELO2
YCR035C,1517,RRP43
YCR036W,809,RBK1
YCR054C,1422,CTR86
YCR059C,4108,YIH1
YCR066W,1243,RAD18
YCR067C,333,SED4
YCR075C,1715,ERS1
YCR079W,1391,PTC6
YCR087C-A,2992,NA
YCR092C,1728,MSH3
YCR093W,2817,CDC39
YCR099C,1990,NA
YCR100C,4301,NA
YCR102C,1686,NA
YCR105W,2030,ADH7
YCR107W,1725,AAD3
YDL006W,918,PTC1
YDL007W,1046,RPT2
YDL015C,4427,TSC13
YDL017W,1596,CDC7
YDL021W,1021,GPM2
YDL022W,3219,GPD1
YDL028C,1739,MPS1
YDL030W,992,PRP9
YDL036C,1824,PUS9
YDL040C,2830,NAT1
YDL043C,972,PRP11
YDL045C,4059,FAD1
YDL047W,1522,SIT4
YDL051W,850,LHP1
YDL055C,892,PSA1
YDL058W,3126,USO1
YDL061C,1153,RPS29B
YDL066W,432,IDP1
YDL070W,4397,BDF2
YDL074C,4274,BRE1
YDL079C,3789,MRK1
YDL080C,4010,THI3
YDL081C,183,RPP1A
YDL082W,251,RPL13A
YDL083C,596,RPS16B
YDL087C,3212,LUC7
YDL103C,3826,QRI1
YDL104C,3864,QRI7
YDL105W,3729,NSE4
YDL108W,1303,KIN28
YDL112W,512,TRM3
YDL116W,804,NUP84
YDL119C,1603,HEM25
YDL120W,4230,YFH1
YDL125C,868,HNT1
YDL127W,4509,PCL2
YDL131W,1402,LYS21
YDL135C,3016,RDI1
YDL136W,280,RPL35B
YDL138W,3958,RGT2
YDL141W,832,BPL1
YDL145C,3081,COP1
YDL146W,444,LDB17
YDL147W,4042,RPN5
YDL148C,4303,NOP14
YDL149W,2979,ATG9
YDL154W,3972,MSH5
YDL155W,1233,CLB3
YDL156W,4140,CMR1
YDL161W,40,ENT1
YDL164C,1322,CDC9
YDL166C,4025,FAP7
YDL167C,3905,NRP1
YDL179W,1354,PCL9
YDL182W,2818,LYS20
YDL185W,10,VMA1
YDL188C,3964,PPH22
YDL190C,475,UFD2
YDL194W,3979,SNF3
YDL195W,3223,SEC31
YDL202W,1242,MRPL11
YDL207W,545,GLE1
YDL209C,3788,CWC2
YDL214C,4337,PRR2
YDL215C,645,GDH2
YDL216C,1463,RRI1
YDL219W,3786,DTD1
YDL224C,1131,WHI4
YDL236W,1387,PHO13
YDL243C,3710,AAD4
YDL245C,784,HXT15
YDL246C,1595,SOR2
YDL247W,694,MPH2
YDR001C,4028,NTH1
YDR004W,4496,RAD57
YDR005C,671,MAF1
YDR006C,4835,SOK1
YDR009W,4035,GAL3
YDR011W,2970,SNQ2
YDR012W,2986,RPL4B
YDR013W,1423,PSF1
YDR018C,703,NA
YDR019C,360,GCV1
YDR025W,4239,RPS11A
YDR026C,4051,NSI1
YDR027C,201,VPS54
YDR030C,3179,RAD28
YDR037W,2846,KRS1
YDR038C,4012,ENA5
YDR039C,1364,ENA2
YDR040C,825,ENA1
YDR044W,1832,HEM13
YDR046C,3068,BAP3
YDR047W,1694,HEM12
YDR050C,1170,TPI1
YDR052C,3860,DBF4
YDR059C,3923,UBC5
YDR060W,3303,MAK21
YDR066C,1700,RTR2
YDR071C,4710,PAA1
YDR080W,3344,VPS41
YDR081C,4404,PDC2
YDR084C,3433,TVP23
YDR087C,4518,RRP1
YDR091C,1099,RLI1
YDR097C,3566,MSH6
YDR098C,1650,GRX3
YDR099W,111,BMH2
YDR105C,297,TMS1
YDR108W,990,TRS85
YDR109C,738,NA
YDR111C,4701,ALT2
YDR120C,4487,TRM1
YDR122W,3306,KIN1
YDR128W,1855,MTC5
YDR137W,933,RGP1
YDR148C,998,KGD2
YDR152W,3251,GIR2
YDR159W,26,SAC3
YDR165W,1588,TRM82
YDR166C,118,SEC5
YDR185C,946,UPS3
YDR189W,1852,SLY1
YDR190C,2945,RVB1
YDR196C,573,CAB5
YDR204W,3583,COQ4
YDR205W,3588,MSC2
YDR211W,3429,GCD6
YDR221W,4413,GTB1
YDR236C,1174,FMN1
YDR238C,1128,SEC26
YDR244W,4014,PEX5
YDR246W,4031,TRS23
YDR247W,433,VHS1
YDR248C,1851,NA
YDR256C,659,CTA1
YDR263C,1759,DIN7
YDR264C,4210,AKR1
YDR265W,3333,PEX10
YDR266C,1397,HEL2
YDR267C,691,CIA1
YDR270W,1340,CCC2
YDR272W,911,GLO2
YDR273W,1502,DON1
YDR283C,83,GCN2
YDR284C,481,DPP1
YDR287W,639,INM2
YDR289C,2964,RTT103
YDR293C,878,SSD1
YDR300C,2995,PRO1
YDR301W,3674,CFT1
YDR302W,4266,GPI11
YDR305C,758,HNT2
YDR308C,3163,SRB7
YDR325W,4831,YCG1
YDR326C,1105,YSP2
YDR330W,1070,UBX5
YDR331W,56,GPI8
YDR333C,3441,RQC1
YDR335W,3840,MSN5
YDR339C,4063,FCF1
YDR342C,3343,HXT7
YDR345C,2819,HXT3
YDR346C,3561,SVF1
YDR352W,299,YPQ2
YDR353W,652,TRR1
YDR358W,1854,GGA1
YDR364C,4165,CDC40
YDR368W,750,YPR1
YDR371W,1265,CTS2
YDR374C,4829,PHO92
YDR376W,559,ARH1
YDR378C,4,LSM6
YDR379W,570,RGA2
YDR382W,283,RPP2B
YDR385W,3406,EFT2
YDR386W,3730,MUS81
YDR387C,1450,NA
YDR389W,4355,SAC7
YDR397C,4197,NCB2
YDR405W,4590,MRP20
YDR406W,1167,PDR15
YDR408C,2951,ADE8
YDR409W,4582,SIZ1
YDR410C,4117,STE14
YDR412W,3444,RRP17
YDR424C,1081,DYN2
YDR427W,956,RPN9
YDR429C,1359,TIF35
YDR430C,582,CYM1
YDR434W,27,GPI17
YDR435C,483,PPM1
YDR438W,4062,THI74
YDR440W,3116,DOT1
YDR447C,3749,RPS17B
YDR448W,4136,ADA2
YDR450W,1159,RPS18A
YDR452W,3379,PPN1
YDR453C,265,TSA2
YDR454C,2922,GUK1
YDR457W,517,TOM1
YDR458C,640,HEH2
YDR481C,869,PHO8
YDR484W,293,VPS52
YDR486C,2890,VPS60
YDR492W,4056,IZH1
YDR496C,3065,PUF6
YDR497C,3098,ITR1
YDR502C,11,SAM2
YDR508C,2807,GNP1
YDR511W,1002,SDH7
YDR517W,3650,GRH1
YDR527W,3407,RBA50
YDR541C,3321,NA
YDR545W,3579,YRF1-1
YEL011W,16,GLC3
YEL012W,4488,UBC8
YEL016C,1274,NPP2
YEL024W,1407,RIP1
YEL030W,1638,ECM10
YEL031W,65,SPF1
YEL041W,525,YEF1
YEL044W,3667,IES6
YEL053C,604,MAK10
YEL055C,3143,POL5
YEL061C,3622,CIN8
YEL063C,147,CAN1
YEL064C,1103,AVT2
YEL075C,3509,NA
YEL077C,3671,NA
YER003C,68,PMI40
YER005W,1482,YND1
YER007C-A,1238,TMA20
YER007W,780,PAC2
YER008C,12,SEC3
YER014W,3367,HEM14
YER016W,127,BIM1
YER019W,1146,ISC1
YER023W,29,PRO3
YER027C,4445,GAL83
YER029C,466,SMB1
YER036C,4127,ARB1
YER042W,3889,MXR1
YER045C,3827,ACA1
YER047C,4195,SAP1
YER049W,3173,TPA1
YER054C,486,GIP2
YER061C,3537,CEM1
YER068W,3585,MOT2
YER073W,85,ALD5
YER074W,2952,RPS24A
YER078C,1150,ICP55
YER081W,3491,SER3
YER087W,3397,AIM10
YER093C,718,TSC11
YER095W,2906,RAD51
YER099C,815,PRS2
YER100W,674,UBC6
YER102W,3089,RPS8B
YER105C,537,NUP157
YER107C,3213,GLE2
YER110C,3593,KAP123
YER117W,4106,RPL23B
YER119C,3754,AVT6
YER120W,1086,SCS2
YER123W,1066,YCK3
YER126C,3806,NSA2
YER129W,4202,SAK1
YER131W,1962,RPS26B
YER132C,3586,PMD1
YER140W,323,EMP65
YER142C,3234,MAG1
YER143W,2843,DDI1
YER146W,49,LSM5
YER155C,2946,BEM2
YER156C,629,NA
YER157W,166,COG3
YER159C,4470,BUR6
YER162C,3156,RAD4
YER163C,3317,GCG1
YER171W,4457,RAD3
YER173W,3044,RAD24
YER174C,3176,GRX4
YER178W,3869,PDA1
YER179W,3312,DMC1
YER189W,4259,NA
YER190W,3122,YRF1-2
YFL002C,3158,SPB4
YFL003C,4009,MSH4
YFL007W,3095,BLM10
YFL024C,231,EPL1
YFL025C,940,BST1
YFL027C,1127,GYP8
YFL030W,3878,AGX1
YFL033C,4079,RIM15
YFL034W,1418,NA
YFL036W,3099,RPO41
YFL042C,1609,LAM5
YFL044C,3170,OTU1
YFL045C,4081,SEC53
YFL048C,647,EMP47
YFL053W,1571,DAK2
YFL054C,3272,NA
YFL064C,4720,NA
YFL066C,1321,NA
YFR002W,3607,NIC96
YFR003C,1366,YPI1
YFR006W,3351,NA
YFR018C,2105,NA
YFR021W,3543,ATG18
YFR022W,4327,ROG3
YFR027W,1786,ECO1
YFR031C-A,6,RPL2A
YFR033C,819,QCR6
YFR034C,376,PHO4
YFR040W,143,SAP155
YFR047C,446,BNA6
YGL001C,2788,ERG26
YGL003C,3887,CDH1
YGL008C,3483,PMA1
YGL012W,2963,ERG4
YGL016W,1594,KAP122
YGL017W,3549,ATE1
YGL018C,2115,JAC1
YGL022W,1027,STT3
YGL027C,3686,CWH41
YGL031C,137,RPL24A
YGL039W,1782,NA
YGL040C,261,HEM2
YGL048C,4155,RPT6
YGL049C,569,TIF4632
YGL054C,52,ERV14
YGL055W,904,OLE1
YGL062W,3834,PYC1
YGL066W,4567,SGF73
YGL073W,3130,HSF1
YGL076C,719,RPL7A
YGL084C,198,GUP1
YGL091C,3836,NBP35
YGL094C,2939,PAN2
YGL095C,15,VPS45
YGL097W,722,SRM1
YGL099W,953,LSG1
YGL100W,339,SEH1
YGL101W,3025,NA
YGL104C,4514,VPS73
YGL105W,32,ARC1
YGL111W,3794,NSA1
YGL115W,3013,SNF4
YGL122C,943,NAB2
YGL123W,3458,RPS2
YGL124C,3086,MON1
YGL127C,4243,SOH1
YGL137W,976,SEC27
YGL141W,3884,HUL5
YGL142C,4102,GPI10
YGL147C,4055,RPL9A
YGL150C,2928,INO80
YGL153W,3137,PEX14
YGL155W,1796,CDC43
YGL157W,3511,ARI1
YGL158W,264,RCK1
YGL163C,1420,RAD54
YGL169W,3148,SUA5
YGL171W,4252,ROK1
YGL173C,2931,XRN1
YGL174W,544,BUD13
YGL183C,4437,MND1
YGL189C,2816,RPS26A
YGL190C,258,CDC55
YGL191W,862,COX13
YGL192W,1710,IME4
YGL194C,3171,HOS2
YGL195W,3471,GCN1
YGL197W,358,MDS3
YGL198W,4053,YIP4
YGL205W,749,POX1
YGL211W,17,NCS6
YGL213C,3051,SKI8
YGL215W,3568,CLG1
YGL220W,823,FRA2
YGL221C,1437,NIF3
YGL225W,3608,VRG4
YGL227W,2971,VID30
YGL231C,707,EMC4
YGL232W,3246,TAN1
YGL234W,3673,"ADE5,7"
YGL240W,3678,DOC1
YGL241W,4414,KAP114
YGL246C,3748,RAI1
YGL256W,785,ADH4
YGR002C,203,SWC4
YGR006W,701,PRP18
YGR010W,3154,NMA2
YGR020C,225,VMA7
YGR027C,2947,RPS25A
YGR031W,4044,IMO32
YGR036C,3948,CAX4
YGR037C,686,ACB1
YGR046W,3020,TAM41
YGR054W,2975,NA
YGR057C,3318,LST7
YGR062C,3825,COX18
YGR066C,1294,NA
YGR078C,3787,PAC10
YGR080W,732,TWF1
YGR085C,142,RPL11B
YGR087C,3785,PDC6
YGR088W,3120,CTT1
YGR090W,301,UTP22
YGR091W,239,PRP31
YGR093W,1376,DRN1
YGR096W,3624,TPC1
YGR099W,4705,TEL2
YGR101W,4121,PCP1
YGR103W,3554,NOP7
YGR108W,1130,CLB1
YGR109C,3403,CLB6
YGR110W,969,CLD1
YGR112W,1879,SHY1
YGR116W,1528,SPT6
YGR118W,680,RPS23A
YGR125W,4164,NA
YGR127W,4286,NA
YGR132C,3105,PHB1
YGR133W,1378,PEX4
YGR141W,1049,VPS62
YGR147C,1954,NAT2
YGR162W,4099,TIF4631
YGR163W,4490,GTR2
YGR171C,1417,MSM1
YGR172C,3663,YIP1
YGR173W,4211,RBG2
YGR175C,658,ERG1
YGR178C,3795,PBP1
YGR187C,3481,HGH1
YGR188C,3829,BUB1
YGR194C,3951,XKS1
YGR195W,4086,SKI6
YGR200C,1101,ELP2
YGR201C,3835,NA
YGR207C,3544,CIR1
YGR208W,2898,SER2
YGR211W,4409,ZPR1
YGR214W,4676,RPS0A
YGR216C,3764,GPI1
YGR220C,1935,MRPL9
YGR223C,3922,HSV2
YGR225W,4765,AMA1
YGR227W,398,DIE2
YGR232W,397,NAS6
YGR238C,907,KEL2
YGR244C,1252,LSC2
YGR246C,2973,BRF1
YGR252W,4366,GCN5
YGR253C,4458,PUP2
YGR255C,104,COQ6
YGR256W,4048,GND2
YGR262C,1776,BUD32
YGR270W,543,YTA7
YGR271W,848,SLH1
YGR274C,1691,TAF1
YGR284C,3140,ERV29
YGR285C,702,ZUO1
YGR287C,4594,IMA1
YGR289C,3368,MAL11
YGR292W,1173,MAL12
YGR296W,1399,YRF1-3
YHL002W,3519,HSE1
YHL003C,1363,LAG1
YHL004W,1703,MRP4
YHL011C,494,PRS3
YHL013C,675,OTU2
YHL022C,1592,SPO11
YHL032C,745,GUT1
YHL049C,672,NA
YHL050C,4443,NA
YHR001W,41,OSH7
YHR003C,188,TCD1
YHR004C,262,NEM1
YHR007C,73,ERG11
YHR009C,1149,TDA3
YHR011W,3103,DIA4
YHR012W,2831,VPS29
YHR016C,2870,YSC84
YHR027C,656,RPN1
YHR028C,782,DAP2
YHR030C,3801,SLT2
YHR037W,428,PUT2
YHR040W,3408,BCD1
YHR042W,813,NCP1
YHR046C,4133,INM1
YHR047C,1306,AAP1
YHR051W,4356,COX6
YHR058C,3412,MED6
YHR064C,3459,SSZ1
YHR068W,1635,DYS1
YHR070W,590,TRM5
YHR072W,3288,ERG7
YHR074W,1766,QNS1
YHR076W,3183,PTC7
YHR077C,539,NMD2
YHR079C,1219,IRE1
YHR080C,781,LAM4
YHR088W,3424,RPF1
YHR089C,3309,GAR1
YHR090C,3735,YNG2
YHR091C,3341,MSR1
YHR094C,2795,HXT1
YHR096C,2860,HXT5
YHR098C,555,SFB3
YHR106W,3088,TRR2
YHR111W,51,UBA4
YHR117W,4257,TOM71
YHR121W,151,LSM12
YHR123W,2930,EPT1
YHR132C,222,ECM14
YHR133C,620,NSG1
YHR135C,435,YCK1
YHR137W,2877,ARO9
YHR144C,3431,DCD1
YHR155W,728,LAM1
YHR158C,508,KEL1
YHR162W,557,MPC2
YHR170W,3804,NMD3
YHR174W,139,ENO2
YHR183W,228,GND1
YHR187W,3698,IKI1
YHR190W,4468,ERG9
YHR193C,388,EGD2
YHR202W,1578,NA
YHR203C,3322,RPS4B
YHR210C,4801,NA
YHR218W,4177,NA
YHR219W,3772,NA
YIL008W,3,URM1
YIL013C,3780,PDR11
YIL018W,567,RPL2B
YIL023C,3565,YKE4
YIL026C,4154,IRR1
YIL030C,257,SSM4
YIL031W,3198,ULP2
YIL034C,318,CAP2
YIL035C,3617,CKA1
YIL036W,3531,CST6
YIL039W,3168,TED1
YIL042C,3980,PKP1
YIL045W,4124,PIG2
YIL047C,2935,SYG1
YIL050W,3817,PCL7
YIL068C,224,SEC6
YIL070C,3692,MAM33
YIL071C,473,PCI8
YIL072W,3339,HOP1
YIL074C,3209,SER33
YIL076W,212,SEC28
YIL079C,3378,AIR1
YIL083C,1523,CAB2
YIL095W,373,PRK1
YIL097W,2857,FYV10
YIL104C,3261,SHQ1
YIL109C,1653,SEC24
YIL112W,3875,HOS4
YIL125W,193,KGD1
YIL128W,4032,MET18
YIL129C,426,TAO3
YIL133C,194,RPL16A
YIL144W,1574,NDC80
YIL148W,322,RPL40A
YIL150C,3532,MCM10
YIL155C,4092,GUT2
YIL172C,3976,IMA3
YIL173W,3630,VTH1
YIL177C,692,NA
YIR002C,4312,MPH1
YIR005W,1175,IST3
YIR008C,3456,PRI1
YIR009W,3436,MSL1
YIR012W,3141,SQT1
YIR022W,662,SEC11
YIR035C,541,NA
YIR037W,538,HYR1
YJL026W,2850,RNR2
YJL029C,528,VPS53
YJL030W,1646,MAD2
YJL031C,4013,BET4
