ID,Number,Name
YJL034W,2958,KAR2
YJL035C,3742,TAD2
YJL041W,630,NSP1
YJL063C,1251,MRPL8
YJL068C,296,NA
YJL071W,3451,ARG2
YJL080C,2909,SCP160
YJL083W,4499,TAX4
YJL084C,4100,ALY2
YJL088W,84,ARG3
YJL093C,1524,TOK1
YJL098W,3771,SAP185
YJL100W,380,LSB6
YJL101C,1304,GSH1
YJL102W,4313,MEF2
YJL104W,3370,PAM16
YJL109C,320,UTP10
YJL110C,2955,GZF3
YJL126W,735,NIT2
YJL132W,1324,NA
YJL134W,2983,LCB3
YJL136C,3159,RPS21B
YJL153C,191,INO1
YJL154C,2797,VPS35
YJL164C,91,TPK1
YJL177W,304,RPL17B
YJL180C,1196,ATP12
YJL190C,2903,RPS22A
YJL191W,414,RPS14B
YJL194W,1435,CDC6
YJL203W,1604,PRP21
YJL207C,405,LAA1
YJL208C,3618,NUC1
YJL219W,3256,HXT9
YJL221C,3587,IMA4
YJL225C,602,NA
YJR006W,3950,POL31
YJR009C,117,TDH2
YJR014W,3489,TMA22
YJR017C,3255,ESS1
YJR019C,1051,TES1
YJR025C,3010,BNA1
YJR031C,574,GEA1
YJR033C,547,RAV1
YJR035W,3745,RAD26
YJR036C,394,HUL4
YJR042W,1412,NUP85
YJR049C,3906,UTR1
YJR057W,214,CDC8
YJR059W,977,PTK2
YJR061W,1043,NA
YJR069C,3227,HAM1
YJR073C,345,OPI3
YJR074W,3167,MOG1
YJR084W,3390,NA
YJR088C,883,EMC2
YJR100C,1539,AIM25
YJR102C,3331,VPS25
YJR103W,400,URA8
YJR105W,841,ADO1
YJR106W,3741,ECM27
YJR110W,754,YMR1
YJR116W,329,TDA4
YJR117W,3731,STE24
YJR119C,636,JHD2
YJR122W,916,IBA57
YJR126C,522,VPS70
YJR131W,1432,MNS1
YJR138W,4181,IML1
YJR143C,313,PMT4
YJR145C,3031,RPS4A
YJR147W,4267,HMS2
YJR148W,4548,BAT2
YJR155W,4041,AAD10
YJR158W,4275,HXT16
YJR159W,1818,SOR1
YJR160C,3706,MPH3
YKL001C,3206,MET14
YKL002W,2786,DID4
YKL006W,2900,RPL14A
YKL007W,3238,CAP1
YKL008C,234,LAC1
YKL010C,368,UFD4
YKL012W,3252,PRP40
YKL013C,103,ARC19
YKL014C,3305,URB1
YKL020C,771,SPT23
YKL022C,3897,CDC16
YKL025C,4430,PAN3
YKL026C,3096,GPX1
YKL035W,1268,UGP1
YKL041W,2828,VPS24
YKL043W,3366,PHD1
YKL056C,2805,TMA19
YKL065C,746,YET1
YKL067W,3482,YNK1
YKL068W,595,NUP100
YKL069W,2813,NA
YKL071W,356,NA
YKL081W,1357,TEF4
YKL086W,3067,SRX1
YKL088W,4169,CAB3
YKL091C,799,NA
YKL092C,607,BUD2
YKL095W,579,YJU2
YKL100C,471,YPF1
YKL106W,635,AAT1
YKL110C,1365,KTI12
YKL113C,3800,RAD27
YKL121W,1283,DGR2
YKL125W,4534,RRN3
YKL127W,4346,PGM1
YKL134C,1625,1-Oct
YKL141W,1074,SDH3
YKL143W,3500,LTV1
YKL144C,1133,RPC25
YKL145W,4357,RPT1
YKL149C,1334,DBR1
YKL152C,3558,GPM1
YKL157W,3945,APE2
YKL160W,1210,ELF1
YKL166C,609,TPK3
YKL168C,4129,KKQ8
YKL171W,303,NNK1
YKL172W,4206,EBP2
YKL173W,3428,SNU114
YKL180W,3515,RPL17A
YKL181W,63,PRS1
YKL184W,4396,SPE1
YKL189W,1161,HYM1
YKL190W,3029,CNB1
YKL191W,744,DPH2
YKL192C,1904,ACP1
YKL195W,906,MIA40
YKL205W,1239,LOS1
YKL206C,748,ADD66
YKL207W,3036,EMC3
YKL212W,100,SAC1
YKL213C,3640,DOA1
YKR008W,4344,RSC4
YKR009C,3656,FOX2
YKR013W,3409,PRY2
YKR016W,465,MIC60
YKR017C,532,HEL1
YKR026C,238,GCN3
YKR034W,217,DAL80
YKR038C,3633,KAE1
YKR048C,893,NAP1
YKR053C,637,YSR3
YKR054C,1035,DYN1
YKR056W,3313,TRM2
YKR068C,2806,BET3
YKR071C,1259,DRE2
YKR079C,1190,TRZ1
YKR082W,109,NUP133
YKR087C,509,OMA1
YKR088C,4278,TVP38
YLL008W,3100,DRS1
YLL010C,1564,PSR1
YLL011W,592,SOF1
YLL012W,1349,YEH1
YLL013C,325,PUF3
YLL018C-A,3555,COX19
YLL023C,4549,POM33
YLL027W,3235,ISA1
YLL031C,150,GPI13
YLL034C,2905,RIX7
YLL040C,1579,VPS13
YLL041C,4110,SDH2
YLL043W,4045,FPS1
YLL052C,1620,AQY2
YLL053C,3648,NA
YLL066C,1676,NA
YLL067C,3629,NA
YLR001C,1388,NA
YLR003C,1228,CMS1
YLR015W,1546,BRE2
YLR016C,1839,PML1
YLR019W,3621,PSR2
YLR020C,292,YEH2
YLR022C,764,SDO1
YLR024C,622,UBR2
YLR028C,252,ADE16
YLR038C,3809,COX12
YLR044C,2822,PDC1
YLR045C,2914,STU2
YLR048W,2792,RPS0B
YLR056W,3059,ERG3
YLR058C,531,SHM2
YLR059C,272,REX2
YLR065C,1841,ENV10
YLR066W,521,SPC3
YLR069C,4741,MEF1
YLR070C,2046,XYL2
YLR072W,3808,LAM6
YLR077W,912,FMP25
YLR080W,1401,EMP46
YLR081W,3850,GAL2
YLR085C,791,ARP6
YLR086W,4316,SMC4
YLR088W,1708,GAA1
YLR089C,3442,ALT1
YLR092W,3136,SUL2
YLR097C,1800,HRT3
YLR100W,628,ERG27
YLR105C,4429,SEN2
YLR107W,3162,REX3
YLR114C,1880,AVL9
YLR116W,3300,MSL5
YLR117C,3314,CLF1
YLR133W,1375,CKI1
YLR134W,2880,PDC5
YLR142W,4340,PUT1
YLR147C,3680,SMD3
YLR148W,4161,PEP3
YLR155C,1257,ASP3-1
YLR157C,3725,ASP3-2
YLR158C,1176,ASP3-3
YLR160C,575,ASP3-4
YLR163C,554,MAS1
YLR170C,4319,APS1
YLR172C,1097,DPH5
YLR175W,39,CBF5
YLR180W,123,SAM1
YLR191W,1091,PEX13
YLR193C,1205,UPS1
YLR196W,3903,PWP1
YLR200W,1803,YKE2
YLR201C,847,COQ9
YLR205C,2066,HMX1
YLR208W,2936,SEC13
YLR209C,1689,PNP1
YLR210W,363,CLB4
YLR215C,1080,CDC123
YLR222C,3166,UTP13
YLR234W,1964,TOP3
YLR239C,936,LIP2
YLR242C,3524,ARV1
YLR246W,3987,ERF2
YLR247C,1164,IRC20
YLR248W,237,RCK2
YLR250W,1534,SSP120
YLR251W,3981,SYM1
YLR258W,419,GSY2
YLR259C,3211,HSP60
YLR260W,4276,LCB5
YLR264W,3384,RPS28B
YLR268W,1752,SEC22
YLR270W,441,DCS1
YLR272C,3900,YCS4
YLR273C,4564,PIG1
YLR274W,3891,MCM5
YLR275W,4369,SMD2
YLR284C,3933,ECI1
YLR289W,3069,GUF1
YLR291C,1941,GCD7
YLR304C,148,ACO1
YLR316C,4180,TAD3
YLR323C,4188,CWC24
YLR328W,2884,NMA1
YLR337C,2814,VRP1
YLR350W,181,ORM2
YLR354C,4120,TAL1
YLR367W,3342,RPS22B
YLR370C,2988,ARC18
YLR371W,3204,ROM2
YLR372W,3404,ELO3
YLR378C,3157,SEC61
YLR388W,1521,RPS29A
YLR389C,3466,STE23
YLR397C,1078,AFG2
YLR399C,3446,BDF1
YLR401C,3883,DUS3
YLR403W,122,SFP1
YLR405W,3634,DUS4
YLR406C,4428,RPL31B
YLR417W,4019,VPS36
YLR419W,247,NA
YLR427W,3591,MAG2
YLR430W,2879,SEN1
YLR432W,1077,IMD3
YLR435W,267,TSR2
YLR438W,4616,CAR2
YLR447C,1110,VMA6
YLR448W,971,RPL6B
YLR450W,827,HMG2
YLR454W,28,FMP27
YLR460C,4200,NA
YLR462W,1554,NA
YLR466W,730,YRF1-4
YLR467W,643,YRF1-5
YML002W,1507,NA
YML005W,1865,TRM12
YML010W,3747,SPT5
YML012W,1215,ERV25
YML014W,2981,TRM9
YML015C,1817,TAF11
YML019W,1473,OST6
YML021C,1088,UNG1
YML024W,4027,RPS17A
YML025C,4654,YML6
YML026C,861,RPS18B
YML028W,611,TSA1
YML032C,2987,RAD52
YML034W,700,SRC1
YML036W,3714,CGI121
YML038C,1414,YMD8
YML041C,4072,VPS71
YML042W,1098,CAT2
YML049C,25,RSE1
YML054C,3999,CYB2
YML055W,226,SPC2
YML056C,82,IMD4
YML065W,3265,ORC1
YML067C,2910,ERV41
YML071C,3601,COG8
YML073C,529,RPL6A
YML075C,4367,HMG1
YML077W,3687,BET5
YML078W,4269,CPR3
YML080W,3626,DUS1
YML092C,4318,PRE8
YML093W,3930,UTP14
YML094W,3940,GIM5
YML095C,4170,RAD10
YML096W,3783,NA
YML098W,4111,TAF13
YML102W,3260,CAC2
YML106W,983,URA5
YML110C,4529,COQ5
YML117W,4280,NAB6
YML121W,2844,GTR1
YML125C,53,PGA3
YML126C,777,ERG13
YMR001C,995,CDC5
YMR002W,1624,MIX17
YMR006C,1943,PLB2
YMR008C,3880,PLB1
YMR010W,140,NA
YMR011W,2842,HXT2
YMR013C,1810,SEC59
YMR016C,3112,SOK2
YMR018W,816,NA
YMR022W,491,UBC7
YMR023C,1413,MSS1
YMR026C,798,PEX12
YMR029C,1092,FAR8
YMR035W,4601,IMP2
YMR038C,4016,CCS1
YMR042W,3997,ARG80
YMR043W,3050,MCM1
YMR047C,970,NUP116
YMR054W,3564,STV1
YMR055C,615,BUB2
YMR076C,550,PDS5
YMR080C,715,NAM7
YMR083W,588,ADH3
YMR091C,3552,NPL6
YMR092C,3984,AIP1
YMR093W,1062,UTP15
YMR097C,634,MTG1
YMR105C,3001,PGM2
YMR113W,1729,FOL3
YMR120C,290,ADE17
YMR125W,2826,STO1
YMR128W,4460,ECM16
YMR132C,1583,JLP2
YMR137C,3517,PSO2
YMR138W,4497,CIN4
YMR139W,724,RIM11
YMR142C,256,RPL13B
YMR143W,248,RPS16A
YMR150C,406,IMP1
YMR153W,625,NUP53
YMR161W,3199,HLJ1
YMR167W,1381,MLH1
YMR169C,4374,ALD3
YMR170C,741,ALD2
YMR186W,54,HSC82
YMR189W,132,GCV2
YMR190C,3308,SGS1
YMR197C,1870,VTI1
YMR199W,895,CLN1
YMR205C,572,PFK2
YMR208W,1434,ERG12
YMR211W,4289,DML1
YMR213W,1743,CEF1
YMR218C,3653,TRS130
YMR222C,3488,FSH2
YMR226C,736,NA
YMR229C,646,RRP5
YMR231W,47,PEP5
YMR234W,566,RNH1
YMR235C,410,RNA1
YMR240C,3527,CUS1
YMR246W,343,FAA4
YMR274C,3160,RCE1
YMR281W,3304,GPI12
YMR284W,1589,YKU70
YMR285C,965,NGL2
YMR288W,2901,HSH155
YMR290C,4525,HAS1
YMR291W,1317,TDA1
YMR293C,1020,HER2
YMR303C,1230,ADH2
YMR308C,4763,PSE1
YMR309C,2949,NIP1
YMR314W,2868,PRE5
YNL009W,962,IDP3
YNL012W,3538,SPO1
YNL037C,69,IDH1
YNL039W,1873,BDP1
YNL041C,3755,COG6
YNL044W,169,YIP3
YNL048W,737,ALG11
YNL049C,3762,SFB2
YNL052W,3598,COX5A
YNL062C,1187,GCD10
YNL064C,99,YDJ1
YNL069C,3224,RPL16B
YNL071W,3215,LAT1
YNL075W,1203,IMP4
YNL077W,828,APJ1
YNL082W,1464,PMS1
YNL087W,3721,TCB2
YNL096C,415,RPS7B
YNL101W,3881,AVT4
YNL102W,2976,POL1
YNL104C,561,LEU4
YNL106C,338,INP52
YNL108C,1030,NA
YNL110C,2872,NOP15
YNL112W,3290,DBP2
YNL118C,2811,DCP2
YNL127W,3548,FAR11
YNL129W,1484,NRK1
YNL130C,3135,CPT1
YNL138W,4295,SRV2
YNL139C,1000,THO2
YNL141W,3448,AAH1
YNL167C,438,SKO1
YNL177C,3205,MRPL22
YNL183C,3200,NPR1
YNL185C,490,MRPL19
YNL197C,2902,WHI3
YNL201C,3240,PSY2
YNL207W,650,RIO2
YNL209W,14,SSB2
YNL213C,4228,RRG9
YNL218W,3365,MGS1
YNL219C,289,ALG9
YNL220W,765,ADE12
YNL223W,4523,ATG4
YNL232W,3841,CSL4
YNL238W,556,KEX2
YNL239W,4212,LAP3
YNL241C,985,ZWF1
YNL245C,1581,CWC25
YNL246W,162,VPS75
YNL248C,3495,RPA49
YNL250W,4329,RAD50
YNL252C,1052,MRPL17
YNL255C,2969,GIS2
YNL257C,1783,SIP3
YNL262W,3641,POL2
YNL265C,3372,IST1
YNL270C,1535,ALP1
YNL272C,461,SEC2
YNL273W,3241,TOF1
YNL286W,1903,CUS2
YNL289W,889,PCL1
YNL290W,2911,RFC3
YNL292W,1029,PUS4
YNL297C,927,MON2
YNL301C,3413,RPL18B
YNL308C,1047,KRI1
YNL313C,1214,EMW1
YNL323W,4067,LEM3
YNL325C,291,FIG4
YNL329C,871,PEX6
YNL331C,1165,AAD14
YNL339C,4419,YRF1-6
YNR003C,4580,RPC34
YNR006W,67,VPS27
YNR007C,480,ATG3
YNR015W,4007,SMM1
YNR019W,4248,ARE2
YNR023W,2883,SNF12
YNR026C,3327,SEC12
YNR030W,885,ALG12
YNR032C-A,627,HUB1
YNR035C,2787,ARC35
YNR038W,4094,DBP6
YNR051C,2832,BRE5
YNR052C,1114,POP2
YNR072W,3993,HXT17
YOL010W,1272,RCL1
YOL027C,1370,MDM38
YOL033W,3882,MSE1
YOL034W,3589,SMC5
YOL039W,136,RPP2A
YOL040C,2881,RPS15
YOL045W,3553,PSK2
YOL052C,3830,SPE2
YOL056W,1614,GPM3
YOL059W,3040,GPD2
YOL061W,287,PRS5
YOL062C,4097,APM4
YOL066C,3375,RIB2
YOL068C,437,HST1
YOL071W,4706,SDH5
YOL072W,608,THP1
YOL075C,696,NA
YOL078W,1253,AVO1
YOL080C,1983,REX4
YOL081W,3892,IRA2
YOL090W,4080,MSH2
YOL093W,796,TRM10
YOL094C,3079,RFC4
YOL097C,4442,WRS1
YOL100W,788,PKH2
YOL103W,1138,ITR2
YOL119C,4416,MCH4
YOL125W,3338,TRM13
YOL136C,3214,PFK27
YOL139C,3187,CDC33
YOL141W,3053,PPM2
YOL145C,3144,CTR9
YOL146W,3011,PSF3
YOL147C,196,PEX11
YOL151W,1323,GRE2
YOL152W,4311,FRE7
YOL156W,2978,HXT11
YOL165C,4373,AAD15
YOR001W,4006,RRP6
YOR003W,1282,YSP3
YOR005C,3485,DNL4
YOR011W,4713,AUS1
YOR018W,3063,ROD1
YOR026W,3287,BUB3
YOR027W,246,STI1
YOR033C,4636,EXO1
YOR034C,1328,AKR2
YOR036W,2941,PEP12
YOR038C,4203,HIR2
YOR039W,2876,CKB2
YOR040W,3476,GLO4
YOR042W,644,CUE5
YOR048C,1470,RAT1
YOR061W,204,CKA2
YOR063W,354,RPL3
YOR065W,1682,CYT1
YOR067C,2,ALG8
YOR074C,1063,CDC21
YOR075W,1612,UFE1
YOR077W,1442,RTS2
YOR085W,1281,OST3
YOR087W,994,YVC1
YOR090C,3109,PTC5
YOR095C,3047,RKI1
YOR106W,3802,VAM3
YOR108W,3281,LEU9
YOR110W,1276,TFC7
YOR116C,3263,RPO31
YOR117W,3774,RPT5
YOR120W,3417,GCY1
YOR123C,1246,LEO1
YOR125C,4109,CAT5
YOR127W,664,RGA1
YOR133W,3018,EFT1
YOR134W,4158,BAG7
YOR136W,178,IDH2
YOR141C,1869,ARP8
YOR142W,1292,LSC1
YOR143C,190,THI80
YOR148C,241,SPP2
YOR151C,536,RPB2
YOR153W,2965,PDR5
YOR156C,1048,NFI1
YOR159C,535,SME1
YOR160W,3012,MTR10
YOR167C,3311,RPS28A
YOR173W,1963,DCS2
YOR176W,3888,HEM15
YOR178C,4441,GAC1
YOR180C,546,DCI1
YOR181W,2932,LAS17
YOR184W,240,SER1
YOR185C,920,GSP2
YOR196C,3854,LIP5
YOR206W,3487,NOC2
YOR213C,3907,SAS5
YOR226C,1492,ISU2
YOR231W,3043,MKK1
YOR233W,1163,KIN4
YOR234C,1858,RPL33B
YOR241W,361,MET7
YOR249C,3609,APC5
YOR254C,4264,SEC63
YOR258W,3285,HNT3
YOR260W,3418,GCD1
YOR261C,235,RPN8
YOR269W,1089,PAC1
YOR270C,1224,VPH1
YOR272W,833,YTM1
YOR280C,3244,FSH3
YOR294W,3865,RRS1
YOR295W,3132,UAF30
YOR298C-A,1768,MBF1
YOR301W,1005,RAX1
YOR306C,3719,MCH5
YOR307C,1351,SLY41
YOR316C,2942,COT1
YOR321W,586,PMT3
YOR323C,131,PRO2
YOR330C,4472,MIP1
YOR332W,1611,VMA4
YOR335C,3243,ALA1
YOR336W,776,KRE5
YOR346W,3844,REV1
YOR347C,1139,PYK2
YOR356W,4724,CIR2
YOR358W,399,HAP5
YOR361C,64,PRT1
YOR362C,3463,PRE10
YOR367W,369,SCP1
YOR368W,3082,RAD17
YOR369C,3461,RPS12
YOR370C,3041,MRS6
YOR374W,110,ALD4
YOR393W,3845,ERR1
YPL006W,282,NCR1
YPL008W,1468,CHL1
YPL012W,3799,RRP12
YPL015C,1525,HST2
YPL022W,3547,RAD1
YPL026C,683,SKS1
YPL028W,3651,ERG10
YPL029W,974,SUV3
YPL030W,2937,TRM44
YPL031C,3273,PHO85
YPL040C,4520,ISM1
YPL042C,1221,SSN3
YPL048W,197,CAM1
YPL059W,4377,GRX5
YPL060W,3646,MFM1
YPL061W,349,ALD6
YPL063W,3358,TIM50
YPL081W,3042,RPS9A
YPL083C,1544,SEN54
YPL086C,3208,ELP3
YPL087W,499,YDC1
YPL091W,3005,GLR1
YPL094C,3805,SEC62
YPL096W,516,PNG1
YPL101W,3188,ELP4
YPL104W,1126,MSD1
YPL106C,1549,SSE1
YPL111W,2998,CAR1
YPL113C,4467,NA
YPL117C,3064,IDI1
YPL119C,211,DBP1
YPL120W,4242,VPS30
YPL125W,1785,KAP120
YPL134C,3812,ODC1
YPL135W,937,ISU1
YPL147W,876,PXA1
YPL149W,731,ATG5
YPL155C,1204,KIP2
YPL157W,942,TGS1
YPL164C,3699,MLH3
YPL170W,395,DAP1
YPL175W,271,SPT14
YPL189W,3328,GUP2
YPL195W,3818,APL5
YPL198W,274,RPL7B
YPL210C,3057,SRP72
YPL211W,3718,NIP7
YPL212C,331,PUS1
YPL213W,3947,LEA1
YPL215W,3921,CBP3
YPL219W,3576,PCL8
YPL224C,1527,MMT2
YPL240C,986,HSP82
YPL242C,3307,IQG1
YPL244C,3382,HUT1
YPL254W,801,HFI1
YPL256C,1471,CLN2
YPL262W,2938,FUM1
YPL263C,3700,KEL3
YPL270W,4570,MDL2
YPL281C,4506,ERR2
YPL283C,1443,YRF1-7
YPR010C,4104,RPA135
YPR016C,3152,TIF6
YPR028W,3455,YOP1
YPR029C,2923,APL4
YPR031W,3357,NTO1
YPR035W,13,GLN1
YPR036W,206,VMA13
YPR040W,1172,TIP41
YPR041W,332,TIF5
YPR048W,2810,TAH18
YPR055W,496,SEC8
YPR056W,3284,TFB4
YPR066W,1345,UBA3
YPR072W,789,NOT5
YPR073C,902,LTP1
YPR074C,519,TKL1
YPR081C,3704,GRS2
YPR094W,3395,RDS3
YPR102C,254,RPL11A
YPR105C,4556,COG4
YPR107C,3590,YTH1
YPR108W,623,RPN7
YPR110C,4285,RPC40
YPR111W,1011,DBF20
YPR112C,681,MRD1
YPR113W,195,PIS1
YPR119W,670,CLB2
YPR120C,4387,CLB5
YPR131C,3525,NAT3
YPR132W,3449,RPS23B
YPR133C,250,SPN1
YPR135W,175,CTF4
YPR141C,1657,KAR3
YPR144C,4494,NOC4
YPR160W,1076,GPH1
YPR173C,2892,VPS4
YPR176C,3237,BET2
YPR183W,1618,DPM1
YPR184W,706,GDB1
YPR187W,1520,RPO26
YPR189W,3722,SKI3
YPR190C,3361,RPC82
YPR191W,92,QCR2
